is,location,trial,set,batch,lat,conc,rep,measure,coldiam,coldiamplug,relgrowth
ILSO_6-1,Illinois,1,1,2,38.90414,0.5,1,1,20.28,16.58,0.25961689
ILSO_6-1,Illinois,1,1,2,38.90414,0.5,1,2,20.04,16.34,0.255858865
ILSO_6-1,Illinois,1,1,2,38.90414,0.5,2,1,19.34,15.64,0.244897959
ILSO_6-1,Illinois,1,1,2,38.90414,0.5,2,2,19.29,15.59,0.244115037
ILSO_6-1,Illinois,1,1,2,38.90414,0.5,3,1,20.66,16.96,0.265567096
ILSO_6-1,Illinois,1,1,2,38.90414,0.5,3,2,20.49,16.79,0.262905162
ILSO_6-1,Illinois,1,1,2,38.90414,1,1,1,17.17,13.47,0.21091915
ILSO_6-1,Illinois,1,1,2,38.90414,1,1,2,17.18,13.48,0.211075735
ILSO_6-1,Illinois,1,1,2,38.90414,1,2,1,18.51,14.81,0.231901456
ILSO_6-1,Illinois,1,1,2,38.90414,1,2,2,18.05,14.35,0.224698575
ILSO_6-1,Illinois,1,1,2,38.90414,1,3,1,17.74,14.04,0.21984446
ILSO_6-1,Illinois,1,1,2,38.90414,1,3,2,18.21,14.51,0.227203925
ILSO_6-12B,Illinois,1,1,3,38.90414,0,1,1,77.31,73.61,1.050046361
ILSO_6-12B,Illinois,1,1,3,38.90414,0,1,2,75.66,71.96,1.026509118
ILSO_6-12B,Illinois,1,1,3,38.90414,0,2,1,72.44,68.74,0.98057583
ILSO_6-12B,Illinois,1,1,3,38.90414,0,2,2,71.62,67.92,0.968878534
ILSO_6-12B,Illinois,1,1,3,38.90414,0,3,1,72.88,69.18,0.986852429
ILSO_6-12B,Illinois,1,1,3,38.90414,0,3,2,72.9,69.2,0.987137729
ILSO_6-12B,Illinois,1,1,3,38.90414,0.01,1,1,70.13,66.43,0.947623689
ILSO_6-12B,Illinois,1,1,3,38.90414,0.01,1,2,68.67,64.97,0.926796795
ILSO_6-12B,Illinois,1,1,3,38.90414,0.01,2,1,70.49,66.79,0.952759088
ILSO_6-12B,Illinois,1,1,3,38.90414,0.01,2,2,69.74,66.04,0.942060341
ILSO_6-12B,Illinois,1,1,3,38.90414,0.01,3,1,68.15,64.45,0.919378997
ILSO_6-12B,Illinois,1,1,3,38.90414,0.01,3,2,68.93,65.23,0.930505694
ILSO_6-12B,Illinois,1,1,3,38.90414,0.05,1,1,53.29,49.59,0.707401155
ILSO_6-12B,Illinois,1,1,3,38.90414,0.05,1,2,53.41,49.71,0.709112955
ILSO_6-12B,Illinois,1,1,3,38.90414,0.05,2,1,55.39,51.69,0.737357647
ILSO_6-12B,Illinois,1,1,3,38.90414,0.05,2,2,53.99,50.29,0.717386653
ILSO_6-12B,Illinois,1,1,3,38.90414,0.05,3,1,55.13,51.43,0.733648748
ILSO_6-12B,Illinois,1,1,3,38.90414,0.05,3,2,53.73,50.03,0.713677754
ILSO_6-12B,Illinois,1,1,3,38.90414,0.1,1,1,53.79,50.09,0.714533654
ILSO_6-12B,Illinois,1,1,3,38.90414,0.1,1,2,52.99,49.29,0.703121657
ILSO_6-12B,Illinois,1,1,3,38.90414,0.1,2,1,51.76,48.06,0.685575711
ILSO_6-12B,Illinois,1,1,3,38.90414,0.1,2,2,50.51,46.81,0.667744466
ILSO_6-12B,Illinois,1,1,3,38.90414,0.1,3,1,49.62,45.92,0.65504862
ILSO_6-12B,Illinois,1,1,3,38.90414,0.1,3,2,49.06,45.36,0.647060222
ILSO_6-12B,Illinois,1,1,3,38.90414,0.5,1,1,24.58,20.88,0.297853118
ILSO_6-12B,Illinois,1,1,3,38.90414,0.5,1,2,24.23,20.53,0.292860369
ILSO_6-12B,Illinois,1,1,3,38.90414,0.5,2,1,24.22,20.52,0.29271772
ILSO_6-12B,Illinois,1,1,3,38.90414,0.5,2,2,24.47,20.77,0.296283969
ILSO_6-12B,Illinois,1,1,3,38.90414,0.5,3,1,24.35,20.65,0.294572169
ILSO_6-12B,Illinois,1,1,3,38.90414,0.5,3,2,23.36,19.66,0.280449823
ILSO_6-12B,Illinois,1,1,3,38.90414,1,1,1,20.18,16.48,0.235087135
ILSO_6-12B,Illinois,1,1,3,38.90414,1,1,2,19.59,15.89,0.226670788
ILSO_6-12B,Illinois,1,1,3,38.90414,1,2,1,19.2,15.5,0.221107439
ILSO_6-12B,Illinois,1,1,3,38.90414,1,2,2,19.4,15.7,0.223960438
ILSO_6-12B,Illinois,1,1,3,38.90414,1,3,1,18.64,14.94,0.213119041
ILSO_6-12B,Illinois,1,1,3,38.90414,1,3,2,18.86,15.16,0.216257341
ILSO_6-2b,Illinois,1,2,1,38.90414,0,1,1,72.37,68.67,1.000874508
ILSO_6-2b,Illinois,1,2,1,38.90414,0,1,2,72.64,68.94,1.004809794
ILSO_6-2b,Illinois,1,2,1,38.90414,0,2,1,71.38,67.68,0.986445125
ILSO_6-2b,Illinois,1,2,1,38.90414,0,2,2,71.95,68.25,0.994752951
ILSO_6-2b,Illinois,1,2,1,38.90414,0,3,1,73.86,70.16,1.022591459
ILSO_6-2b,Illinois,1,2,1,38.90414,0,3,2,71.66,67.96,0.990526162
ILSO_6-2b,Illinois,1,2,1,38.90414,0.01,1,1,67.42,63.72,0.928727591
ILSO_6-2b,Illinois,1,2,1,38.90414,0.01,1,2,65.62,61.92,0.902492348
ILSO_6-2b,Illinois,1,2,1,38.90414,0.01,2,1,65.08,61.38,0.894621775
ILSO_6-2b,Illinois,1,2,1,38.90414,0.01,2,2,64.41,60.71,0.884856435
ILSO_6-2b,Illinois,1,2,1,38.90414,0.01,3,1,63.35,59.65,0.869406792
ILSO_6-2b,Illinois,1,2,1,38.90414,0.01,3,2,65.57,61.87,0.901763591
ILSO_6-2b,Illinois,1,2,1,38.90414,0.05,1,1,54.56,50.86,0.741291357
